Date,Close
7/10/15,19.75
7/13/15,19.88
7/14/15,19.89
7/15/15,19.75
7/16/15,20.19
7/17/15,20.07
7/20/15,19.7
7/21/15,19.79
7/22/15,19.41
7/23/15,19.65
7/24/15,19.42
7/27/15,19.31
7/28/15,19.73
7/29/15,19.97
7/30/15,20.02
7/31/15,19.95
8/3/15,20.29
8/4/15,20.37
8/5/15,20.58
8/6/15,20.45
8/7/15,22.98
8/10/15,23.78
8/11/15,23.66
8/12/15,23.72
8/13/15,23.52
8/14/15,23.54
8/17/15,23.39
8/18/15,23.08
8/19/15,22.99
8/20/15,22.16
8/21/15,21.47
8/24/15,20.71
8/25/15,20.28
8/26/15,21.81
8/27/15,22.63
8/28/15,22.73
8/31/15,22.48
9/1/15,21.56
9/2/15,22.21
9/3/15,22.27
9/4/15,21.75
9/8/15,22.68
9/9/15,22.23
9/10/15,22.58
9/11/15,22.65
9/14/15,22.69
9/15/15,22.94
9/16/15,23.1
9/17/15,23.31
9/18/15,23.29
9/21/15,23.53
9/22/15,22.89
9/23/15,23
9/24/15,23.44
9/25/15,23.61
9/28/15,23.3
9/29/15,23.71
9/30/15,24.65
10/1/15,24.17
10/2/15,24.8
10/5/15,25.42
10/6/15,25.75
10/7/15,26.02
10/8/15,26.17
10/9/15,26.07
10/12/15,26.35
10/13/15,26.4
10/14/15,27.36
10/15/15,27.43
10/16/15,27.86
10/19/15,27.81
10/20/15,27.77
10/21/15,27.41
10/22/15,28.4
10/23/15,28.59
10/26/15,28.46
10/27/15,28.44
10/28/15,28.67
10/29/15,27.68
10/30/15,28.37
11/2/15,28.7
11/3/15,28.5
11/4/15,28.03
11/5/15,27.71
11/6/15,31.55
11/9/15,31.41
11/10/15,30.81
11/11/15,30.51
11/12/15,30.4
11/13/15,29.8
11/16/15,30.4
11/17/15,30.4
11/18/15,31.03
11/19/15,31.12
11/20/15,31.39
11/23/15,30.92
11/24/15,31.17
11/25/15,31.13
11/27/15,31.39
11/30/15,31.72
12/1/15,32.75
12/2/15,32.5
12/3/15,32.43
12/4/15,33.75
12/7/15,33.11
12/8/15,33.56
12/9/15,32.71
12/10/15,32.98
12/11/15,32.49
12/14/15,32.57
12/15/15,32.97
12/16/15,33.17
12/17/15,32.67
12/18/15,32.14
12/21/15,32.9
12/22/15,32.93
12/23/15,33.06
12/24/15,33.17
12/28/15,33.14
12/29/15,33.68
12/30/15,33.39
12/31/15,32.96
1/4/16,32.37
1/5/16,32.89
1/6/16,31.53
1/7/16,30.28
1/8/16,29.63
1/11/16,29.68
1/12/16,30.18
1/13/16,29.26
1/14/16,28.67
1/15/16,27.11
1/19/16,27.33
1/20/16,27.48
1/21/16,27.8
1/22/16,28.45
1/25/16,28.42
1/26/16,28.7
1/27/16,28.36
1/28/16,28.05
1/29/16,29.29
2/1/16,29.3
2/2/16,28.06
2/3/16,28.2
2/4/16,28.21
2/5/16,26.43
2/8/16,25.22
2/9/16,25.49
2/10/16,25.43
2/11/16,25.3
2/12/16,25.73
2/16/16,26.99
2/17/16,27.66
2/18/16,30.04
2/19/16,30.44
2/22/16,31.52
2/23/16,31.6
2/24/16,31.82
2/25/16,31.89
2/26/16,31.68
2/29/16,31.36
3/1/16,32.75
3/2/16,32.94
3/3/16,32.65
3/4/16,32.55
3/7/16,32.34
3/8/16,31.75
3/9/16,31.73
3/10/16,31.68
3/11/16,32.22
3/14/16,32.3
3/15/16,32.14
3/16/16,33.1
3/17/16,32.82
3/18/16,33.81
3/21/16,33.91
3/22/16,33.85
3/23/16,34.43
3/24/16,34.48
3/28/16,34.83
3/29/16,35.39
3/30/16,35.76
3/31/16,35.63
4/1/16,36.15
4/4/16,35.8
4/5/16,35.75
4/6/16,35.8
4/7/16,35.43
4/8/16,35.66
4/11/16,35.88
4/12/16,35.84
4/13/16,36.74
4/14/16,36.84
4/15/16,37.13
4/18/16,36.97
4/19/16,36.31
4/20/16,36.45
4/21/16,36.41
4/22/16,36.27
4/25/16,36.45
4/26/16,36.48
4/27/16,37.31
4/28/16,36.2
4/29/16,35.53
5/2/16,36
5/3/16,35.57
5/4/16,34.76
5/5/16,34.97
5/6/16,35.33
5/9/16,35.28
5/10/16,35.96
5/11/16,36.06
5/12/16,35.57
5/13/16,40.98
5/16/16,42.19
5/17/16,42.28
5/18/16,43.36
5/19/16,43.55
5/20/16,44.33
5/23/16,44.4
5/24/16,45.36
5/25/16,45.17
5/26/16,45.65
5/27/16,45.9
5/31/16,46.72
6/1/16,46.81
6/2/16,47.14
6/3/16,46.48
6/6/16,46.24
6/7/16,46.33
6/8/16,46.18
6/9/16,47.38
6/10/16,46.2
6/13/16,46.79
6/14/16,46.88
6/15/16,47.36
6/16/16,47.55
6/17/16,46.72
6/20/16,47.56
6/21/16,47.27
6/22/16,47.23
6/23/16,48.49
6/24/16,45.73
6/27/16,45.24
6/28/16,45.9
6/29/16,46.65
6/30/16,47.01
7/1/16,46.66
7/5/16,47.35
7/6/16,47.65
7/7/16,48.89
7/8/16,50.85
7/11/16,52.02
7/12/16,52.8
7/13/16,52.78
7/14/16,53.32
7/15/16,52.7
7/18/16,52.97
7/19/16,53.52
7/20/16,54.22
7/21/16,53.22
7/22/16,54.67
7/25/16,55.68
7/26/16,56.63
7/27/16,56.06
7/28/16,56.18
7/29/16,57.1
8/1/16,56.73
8/2/16,56.04
8/3/16,56.19
8/4/16,57.23
8/5/16,58.2
8/8/16,58.74
8/9/16,58.89
8/10/16,58.51
8/11/16,59.7
8/12/16,63.04
8/15/16,62.98
8/16/16,62.6
8/17/16,61.15
8/18/16,62.1
8/19/16,62.26
8/22/16,62.52
8/23/16,62.91
8/24/16,61.94
8/25/16,61.53
8/26/16,62.03
8/29/16,61.99
8/30/16,61.63
8/31/16,61.34
9/1/16,63.15
9/2/16,62.53
9/6/16,63.12
9/7/16,62.19
9/8/16,62.64
9/9/16,59.52
9/12/16,60.75
9/13/16,59.87
9/14/16,60.4
9/15/16,62.69
9/16/16,62.84
9/19/16,63.67
9/20/16,63.09
9/21/16,64.86
9/22/16,65.02
9/23/16,64.95
9/26/16,64.34
9/27/16,66.54
9/28/16,66.78
9/29/16,67.4
9/30/16,68.52
10/3/16,68.45
10/4/16,68.3
10/5/16,68.23
10/6/16,67.34
10/7/16,66.85
10/10/16,67.1
10/11/16,66.13
10/12/16,66.43
10/13/16,65.35
10/14/16,65.99
10/17/16,65.61
10/18/16,66.61
10/19/16,66.47
10/20/16,67.73
10/21/16,67.54
10/24/16,70.71
10/25/16,71.87
10/26/16,72.16
10/27/16,70.68
10/28/16,70.56
10/31/16,71.16
11/1/16,69.05
11/2/16,68.76
11/3/16,67.96
11/4/16,67.57
11/7/16,71.27
11/8/16,71.16
11/9/16,69.96
11/10/16,67.77
11/11/16,87.97
11/14/16,83.64
11/15/16,86.19
11/16/16,91.63
11/17/16,92.39
11/18/16,93.36
11/21/16,92.98
11/22/16,93.65
11/23/16,93.97
11/25/16,94.16
11/28/16,94.11
11/29/16,93.25
11/30/16,92.2
12/1/16,87.64
12/2/16,88.45
12/5/16,91.88
